"filename", "language", "PHP", "CSS", "HTML", "JavaScript", "TypeScript", "comment", "blank", "total"
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\App_Expo\sneakyChat\db\schema.ts", "TypeScript", 0, 0, 0, 0, -40, 0, -6, -46
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\src\disign\Block Notas.html", "HTML", 0, 0, 21, 0, 0, 0, 0, 21
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\src\disign\Index.html", "HTML", 0, 0, 22, 0, 0, 1, 0, 23
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\src\disign\Mensajes.html", "HTML", 0, 0, 80, 0, 0, 0, 3, 83
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\src\disign\Notas.html", "HTML", 0, 0, 14, 0, 0, 0, 0, 14
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\src\disign\style.css", "CSS", 0, 117, 0, 0, 0, 0, 3, 120
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\src\javascript\chat.js", "JavaScript", 0, 0, 0, 47, 0, 4, 0, 51
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\src\php\Consulta.php", "PHP", 41, 0, 0, 0, 0, 12, 1, 54
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\src\php\Consulta_Sala.php", "PHP", 37, 0, 0, 0, 0, 0, 7, 44
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\src\php\Consulta_Usuario.php", "PHP", 35, 0, 0, 0, 0, 0, 7, 42
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\src\php\index.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\src\php\registro_mensaje.php", "PHP", 34, 0, 0, 0, 0, 3, 8, 45
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\src\php\registro_sala.php", "PHP", 34, 0, 0, 0, 0, 0, 8, 42
"c:\Users\windo\OneDrive\Documentos\Sneaky-Chat\src\php\registro_usuario.php", "PHP", 36, 0, 0, 0, 0, 3, 6, 45
"Total", "-", 220, 117, 137, 47, -40, 23, 37, 541